branch-instructions,branch-misses,cache-misses,cpu-cycles,instructions,L1-dcache-loads,LLC-stores,iTLB-load-misses,label
15525,2273,15654,263053,70074,18547,250,219,0
15661,2096,15134,274169,70531,18686,237,239,0
15061,2200,15098,263139,67512,17745,211,201,0
14759,2137,12979,377202,66042,17345,247,226,0
16045,1928,12550,293505,72295,18894,217,420,0
14764,1878,17075,254626,65712,17236,175,240,0
14774,1942,17107,255794,65760,17255,210,231,0
15691,1947,12008,295980,70921,18841,249,419,0
14794,1910,12113,257157,65819,17267,202,349,0
15503,2071,21708,297625,69576,18383,213,230,0
14762,2087,19013,277291,66092,17370,188,202,0
14733,2095,22505,277623,65596,17222,222,239,0
15581,2088,14322,269931,70208,18429,256,227,0
14789,1947,11970,241609,65804,17257,215,257,0
15737,1995,11293,255245,71558,19038,184,185,0
14761,2095,12668,272415,65897,17243,190,241,0
15827,2005,16716,268104,71826,19052,238,316,0
15765,2135,19533,270029,70547,18224,195,205,0
14433,2006,14041,288443,63967,16672,170,254,0
16036,1707,13249,447020,70845,18467,297,475,0
14739,1958,15439,268114,65986,17338,174,176,1
15211,1869,12036,316557,67416,17588,296,339,1
14960,2075,13195,248057,67101,17626,249,223,1
15652,2079,12913,270708,71048,18904,226,219,1
14770,1904,14206,248607,65733,17246,169,233,1
14764,1898,11953,347762,65722,17249,153,415,1
14971,1972,12575,266380,66933,17437,182,263,1
14796,2015,13844,253497,65829,17262,193,236,1
15124,2047,16871,270813,67765,17651,237,220,1
15201,2015,15256,265257,68030,17897,225,252,1
15347,2019,18382,276909,69294,17930,182,289,1
14921,1904,20219,263826,66731,17390,158,224,1
14819,1985,16788,269317,65948,17304,215,227,1
14789,1887,11956,239257,65811,17264,196,262,1
14773,2040,15861,265167,66147,17389,190,223,1
14767,1903,13089,255359,65906,17245,214,242,1
14775,1878,12797,245641,65740,17251,152,237,1
15484,2001,18445,265257,68638,17953,193,215,1
14972,2114,17864,274234,66890,17499,211,270,1
16974,2185,13408,481932,76398,20330,304,459,1
